run_id,model_name,task_subtype,count,quality_score,end_to_end_score,ok_rate,overall_end_to_end_score,macro_depth_end_to_end_score,reliability_ok_rate,estimated_cost_usd
benchmark_v3_eval_sgr_20260412_gpt54_tools_spectrum_fixed_rescued,gpt-5.4,reagent_role_identification,112,0.7508928571428571,0.7508928571428571,1.0,0.5875438596491228,0.60631569664903,1.0,50.053562500000005
benchmark_v3_eval_sgr_20260412_gpt54_tools_spectrum_fixed_rescued,gpt-5.4,reference_route_planning,137,0.616788321167883,0.616788321167883,1.0,0.5875438596491228,0.60631569664903,1.0,50.053562500000005
benchmark_v3_eval_sgr_20260412_gpt54_tools_spectrum_fixed_rescued,gpt-5.4,route_design,13,0.8538461538461538,0.8538461538461538,1.0,0.5875438596491228,0.60631569664903,1.0,50.053562500000005
benchmark_v3_eval_sgr_20260412_gpt54_tools_spectrum_fixed_rescued,gpt-5.4,transformation_classification,64,0.8343749999999998,0.8343749999999998,1.0,0.5875438596491228,0.60631569664903,1.0,50.053562500000005
spectrum_full_resumed_from_lobach_tunnel,gpt-5.4-mini,condition_role_identification,92,0.6369565217391305,0.6369565217391305,1.0,0.5529824561403509,0.5700132275132276,0.990909090909091,13.51682375
spectrum_full_resumed_from_lobach_tunnel,gpt-5.4-mini,immediate_precursor_prediction,210,0.4519047619047627,0.4519047619047627,1.0,0.5529824561403509,0.5700132275132276,0.990909090909091,13.51682375
spectrum_full_resumed_from_lobach_tunnel,gpt-5.4-mini,immediate_precursor_with_disconnection,210,0.25095238095238115,0.25095238095238115,1.0,0.5529824561403509,0.5700132275132276,0.990909090909091,13.51682375
spectrum_full_resumed_from_lobach_tunnel,gpt-5.4-mini,mechanistic_classification,76,0.5710526315789471,0.5710526315789471,1.0,0.5529824561403509,0.5700132275132276,0.990909090909091,13.51682375
spectrum_full_resumed_from_lobach_tunnel,gpt-5.4-mini,reaction_center_identification,76,0.8973684210526315,0.8973684210526315,1.0,0.5529824561403509,0.5700132275132276,0.990909090909091,13.51682375
spectrum_full_resumed_from_lobach_tunnel,gpt-5.4-mini,reagent_role_identification,112,0.7473214285714284,0.7473214285714284,1.0,0.5529824561403509,0.5700132275132276,0.990909090909091,13.51682375
spectrum_full_resumed_from_lobach_tunnel,gpt-5.4-mini,reference_route_planning,137,0.5695312499999996,0.5321167883211675,0.9343065693430657,0.5529824561403509,0.5700132275132276,0.990909090909091,13.51682375
spectrum_full_resumed_from_lobach_tunnel,gpt-5.4-mini,route_design,13,0.8538461538461539,0.8538461538461539,1.0,0.5529824561403509,0.5700132275132276,0.990909090909091,13.51682375
spectrum_full_resumed_from_lobach_tunnel,gpt-5.4-mini,transformation_classification,64,0.9515624999999996,0.9515624999999996,1.0,0.5529824561403509,0.5700132275132276,0.990909090909091,13.51682375
